1077	0.011685
1078	0.019396
1079	0.010508
1080	0.015438
1081	0.017085
1082	0.01144
1083	0.017115
1084	0.012722
1085	0.01632
1086	0.0097085
1087	0.015517
1088	0.019416
1089	0.01605
1090	0.015132
1091	0.011271
1092	0.01857
1093	0.013505
1094	0.015588
1095	0.020622
1096	0.023228
1097	0.015033
1098	0.014058
1099	0.01714
1100	0.016005
1101	0.013991
1102	0.019753
1103	0.01261
1104	0.020164
1105	0.017184
1106	0.017253
1107	0.017353
1108	0.012961
1109	0.016103
1110	0.020945
1111	0.014731
1112	0.02193
1113	0.016829
1114	0.018164
1115	0.023838
1116	0.021574
1117	0.019019
1118	0.018998
1119	0.02033
1120	0.025535
1121	0.022209
1122	0.022808
1123	0.023643
1124	0.019463
1125	0.028616
1126	0.029212
1127	0.031651
1128	0.035794
1129	0.03588
1130	0.035246
1131	0.03765
1132	0.043387
1133	0.04491
1134	0.049995
1135	0.059157
1136	0.064929
1137	0.069659
1138	0.075796
1139	0.090338
1140	0.11626
1141	0.12783
1142	0.15575
1143	0.1863
1144	0.22356
1145	0.26022
1146	0.31332
1147	0.38214
1148	0.46611
1149	0.56666
1150	0.68352
1151	0.83094
1152	1.0157
1153	1.2456
1154	1.5129
1155	1.8569
1156	2.2641
1157	2.7758
1158	3.4063
1159	4.1903
1160	5.1772
1161	6.3834
1162	7.9401
1163	9.9205
1164	12.357
1165	15.613
1166	19.566
1167	24.354
1168	30.355
1169	37.308
1170	45.044
1171	53.525
1172	61.668
1173	69.033
1174	75.031
1175	79.321
1176	81.979
1177	83.257
1178	83.533
1179	83.218
1180	82.641
1181	82.031
1182	81.512
1183	81.187
1184	81.036
1185	81.071
1186	81.236
1187	81.514
1188	81.83
1189	82.185
1190	82.507
1191	82.777
1192	82.992
1193	83.134
1194	83.226
1195	83.277
1196	83.304
1197	83.328
1198	83.364
1199	83.463
1200	83.553
1201	83.726
1202	83.957
1203	84.228
1204	84.597
1205	84.949
1206	85.349
1207	85.82
1208	86.211
1209	86.64
1210	87.04
1211	87.363
1212	87.663
1213	87.876
1214	88.049
1215	88.094
1216	88.118
1217	88.076
1218	87.94
1219	87.788
1220	87.55
1221	87.339
1222	87.062
1223	86.784
1224	86.512
1225	86.27
1226	86.018
1227	85.803
1228	85.571
1229	85.428
1230	85.264
1231	85.188
1232	85.129
1233	85.097
1234	85.098
1235	85.153
1236	85.232
1237	85.312
1238	85.456
1239	85.631
1240	85.819
1241	86.053
1242	86.276
1243	86.529
1244	86.806
1245	87.099
1246	87.405
1247	87.708
1248	88.013
1249	88.316
1250	88.626
1251	88.891
1252	89.144
1253	89.416
1254	89.642
1255	89.838
1256	90.029
1257	90.186
1258	90.343
1259	90.432
1260	90.537
1261	90.647
1262	90.689
1263	90.73
1264	90.761
1265	90.811
1266	90.85
1267	90.888
1268	90.889
1269	90.98
1270	90.998
1271	91.028
1272	91.087
1273	91.122
1274	91.172
1275	91.222
1276	91.296
1277	91.344
1278	91.383
1279	91.427
1280	91.479
1281	91.485
1282	91.448
1283	91.428
1284	91.406
1285	91.334
1286	91.278
1287	91.184
1288	91.061
1289	90.91
1290	90.753
1291	90.566
1292	90.336
1293	90.101
1294	89.864
1295	89.589
1296	89.315
1297	89.038
1298	88.734
1299	88.433
1300	88.146
1301	87.832
1302	87.56
1303	87.25
1304	86.975
1305	86.714
1306	86.436
1307	86.248
1308	85.971
1309	85.751
1310	85.531
1311	85.363
1312	85.242
1313	85.154
1314	85.148
1315	85.227
1316	85.379
1317	85.704
1318	86.144
1319	86.702
1320	87.441
1321	88.26
1322	89.159
1323	89.993
1324	90.505
1325	90.537
1326	89.694
1327	87.585
1328	84.043
1329	78.531
1330	71.567
1331	63.336
1332	54.478
1333	45.843
1334	37.641
1335	30.368
1336	24.242
1337	19.304
1338	15.387
1339	12.215
1340	9.7754
1341	7.8566
1342	6.328
1343	5.1627
1344	4.2404
1345	3.5012
1346	2.9182
1347	2.451
1348	2.049
1349	1.747
1350	1.5017
1351	1.2844
1352	1.1158
1353	0.97358
1354	0.85253
1355	0.74611
1356	0.6637
1357	0.59395
1358	0.53667
1359	0.48801
1360	0.42962
1361	0.39781
1362	0.36639
1363	0.33059
1364	0.31081
1365	0.28331
1366	0.26822
1367	0.25118
1368	0.23477
1369	0.21919
1370	0.2064
1371	0.19194
1372	0.18404
1373	0.17756
1374	0.17127
